user_id,video_id,watch_time_s,duration_s,watch_ratio
0,398,3.78,30.22,0.1252
0,74,0.0,24.83,0.0
0,17,5.75,34.13,0.1683
0,329,5.31,20.12,0.2641
0,144,2.56,12.5,0.2047
0,225,2.16,21.67,0.0998
0,46,20.87,53.35,0.3912
0,183,17.52,39.67,0.4417
0,152,5.96,38.35,0.1556
0,32,40.0,50.38,0.7939
0,254,13.7,27.83,0.4922
0,200,3.25,11.55,0.2817
0,66,14.81,17.43,0.8494
0,321,2.05,39.32,0.0521
0,177,0.57,10.62,0.0535
0,9,15.38,41.48,0.3709
0,351,8.25,20.91,0.3943
0,36,21.68,46.46,0.4666
0,121,3.76,21.97,0.1713
0,110,4.24,37.22,0.1138
0,16,1.78,43.5,0.041
0,142,8.77,24.14,0.3633
0,72,0.73,52.32,0.014
0,90,15.78,23.22,0.6798
0,288,15.2,48.62,0.3126
0,124,4.64,10.43,0.4446
0,69,1.89,55.33,0.0342
0,253,20.7,44.0,0.4704
0,331,9.51,48.31,0.1968
0,207,0.0,29.75,0.0
0,271,5.44,27.14,0.2003
0,322,0.0,44.84,0.0
0,165,5.12,15.05,0.3399
0,228,43.5,53.59,0.8118
0,27,16.66,34.71,0.4801
0,333,22.7,51.56,0.4403
0,13,14.67,33.28,0.4408
0,186,0.0,31.65,0.0
0,252,5.13,13.34,0.3846
0,23,0.0,18.78,0.0
0,287,5.75,55.55,0.1034
0,149,18.25,26.11,0.6988
0,14,3.03,43.04,0.0704
0,274,14.76,45.1,0.3274
0,31,15.7,28.61,0.5487
0,340,22.2,40.68,0.5457
0,15,9.41,51.61,0.1822
0,103,4.73,50.03,0.0946
0,140,3.17,37.12,0.0853
0,28,5.7,49.36,0.1155
0,375,0.0,39.96,0.0
0,384,18.81,44.88,0.419
0,368,7.1,46.31,0.1532
0,87,17.9,50.76,0.3527
0,346,0.0,46.55,0.0
0,145,2.02,41.65,0.0485
0,120,2.71,29.3,0.0924
0,281,0.78,29.06,0.027
0,40,20.03,46.2,0.4335
0,2,0.0,51.46,0.0
1,88,2.16,50.88,0.0424
1,97,3.97,17.97,0.2208
1,391,7.27,22.83,0.3185
1,380,0.38,18.12,0.0211
1,192,3.05,51.98,0.0588
1,322,7.69,44.84,0.1715
1,319,36.64,40.92,0.8955
1,120,0.61,29.3,0.0208
1,87,20.29,50.76,0.3997
1,321,2.79,39.32,0.071
1,382,40.05,57.14,0.7009
1,392,13.62,59.33,0.2296
